"%s day","%s dag"
"%s days","%s dager"
"%s hour","%s time"
"%s hours","%s timer"
"%s minute","%s minutt"
"%s minutes","%s minutter"
"%s must be set.","%s må være angitt."
"%s must not be blank","%s Må ikke være blank"
"-- Please Select --","-- Vennligst velgt --"
"-- Product names --","-- Produkt navn --"
"Discount Amount","Rabattbeløp"
"Discount Percent","Rabattprosent"
"Discount Type","Rabattype"
"Display the red Order Note text at Admin Order Grid to make these orders notable.","Display the red Order Note text at Admin Order Grid to make these orders notable."
"Download failed.","Nedlasting mislyktes"
"Each on a separate line, leave empty to allow any","Hver på separat linje, la stå tom for å tillate alt"
"Email Enabled","E-post aktivert"
"Email Recipients - All Errors - Magento and Porterbuddy API","E-post mottakere - Alle feil - Magento og Porterbuddy API"
"Email Recipients - inform Porterbuddy of API errors","E-post mottakere - informer Porterbuddy om API-feil"
"Email Sender","Sender E-post"
"Email Template","E-postskjema"
"Email","E-post"
"Enabled","Aktiv"
"Enter post code","Skriv inn postnummer"
"Express Delivery Name","Express Leveringsnavn"
"Express delivery price override","Ekspressleveranse pris blir overstyrt"
"Fixed","Fikset"
"Friday","fredag"
"Generate new token","Generer ny token"
"Geo-based availability widget","Geo-basert tilgjengelig widget"
"GeoIP Database Downloaded","GeoIP Database nedlastet"
"Geoip database reader is not installed","Geoip database leser er ikke installert"
"Get availability options error","Få feil med tilgjengelighetsalternativer"
"Get delivery options error","Feil under henting av leveringsalternativer"
"Google Maps API Key","Google Maps API Nøkkel"
"Gram","Gram"
"Height attribute","Høyde-attributt"
"ID check attribute","ID-sjekk attributt"
"ID check","ID-sjekk"
"If you synchronize GeoIP database too often you may be banned for several hours.","Hvis du synkroniserer GeoIP-databasen for ofte, kan du bli utestengt i flere timer"
"In checkout","I kassen"
"Incorrect day of week `%s`.","Ugyldig ukedag `%s`."
"Invalid dimension unit.","Ugyldig dimensjonsenhet."
"Invalid form key.","Ugyldig skjemanøkkel"
"Invalid weight unit.","Ugyldig vektenhet."
"IP address lookup error","IP-adresse oppslagsfeil"
"IP address not found in database","IP-adresse ikke funnet i databasen"
"IP location lookup","IP location lookup"
"Kilogram","Kilo"
"Leave at doorstep checkbox text","Tekst for legg igjen utenfor døren alternativ"
"Allow customers to choose to leave at doorstep","Aktiver valg der mottaker kan velge at pakken legges igjen på dørstokken "
"Leave package outside the door","La pakken stå utenfor døren"
"Length attribute","Lengde-attributt"
"Location Discovery","Location Discovery"
"max %s kg, %s cm","maks %s kg, %s cm"
"Max. Height (cm)","Max. Høyde (cm)"
"Max. Length (cm)","Max. Lengde (cm)"
"Max. Weight (kg)","Max. Vekt (kg)"
"Max. Width (cm)","Max. Bredde (cm)"
"Message to courier","Beskjed til bud"
"Method not allowed.","Metode ikke tillatt"
"Millimeter","Millimeter"
"Minimum age check attribute","Minimum alderskontrollattributt"
"Minimum age check","Minimum alderskontroll"
"Minimum Order Amount","Minimum bestillingsbeløp"
"Monday","mandag"
"Next Day","Neste dag"
"No pickup windows available in `%s` days ahead.","Ingen pickup vinduer tilgjengelig i `% s` dager fremover"
"No","Nei"
"None","Ingen"
"Normal delivery price override","Pris overstyres"
"Not Required","Ikke obligatorisk"
"On confirmation page","På bekreftelsessiden"
"Only errors on Porterbuddy API side","Feil på Porterbuddy API-siden"
"Only to recipient attribute","Bare til mottakerattributt"
"Only to recipient","Bare til mottaker"
"Open Hours","Åpningstider"
"Optional","Valgfri"
"Order has been updated.","Ordre har blitt oppdatert."
"Order not found.","Ordre ikke funnet."
"Order Note in Admin","Order Note in Admin"
"Other","Annen"
"Packager mode","Emballasjemodus"
"Packages cannot be empty to submit shipment.","Forsendelse kan ikke være tom ved opprettelse av forsendelse"
"Packages Settings","Innstillinger for forsendelse"
"Packing time, minutes","Packing time, minutes"
"Payment detected, shipment created automatically.","Betaling funnet, forsendelse opprettes automatisk"
"Percent","Prosent"
"Pick time slot","Velg tidsluke"
"Pickup location attributes","Attributter for pickup-lokasjon"
"Please select post code to see delivery options","Vennligst velg postnummer for å se leveringsalternativene"
"Please set location first.","Vennligst angi lokasjon først"
"Porterbuddy Mode","Porterbuddy-modus"
"Porterbuddy shipment has been ordered.","Porterbuddy forsendelse har blitt bestilt"
"Time for last Porterbuddy order","Siste frist for Porterbuddy bestilling"
"Postcode is required","Postnummer er påkrevd"
"Postcode is unknown for IP address","Postnummeret er ukjent for IP-adresse"
"Previous Day","Forrige dag"
"Prices Override","Prisene overstyres"
"Product ID is required","ID kreves"
"Product not found","Produkt ikke funnet"
"Production","Produksjon"
"Refresh delivery options every, minutes","Oppdaterer leveringsalternativet hvert minutt"
"Require signature attribute","Krev signaturattributt"
"Require signature","Signatur kreves"
"Return Enabled","Retur aktivert"
"Return Price","Returpris"
"Return Short Text","Returnering kort tekst"
"Return Text","Tekst for returvalg"
"Saturday","lørdag"
"Save Options","Lagre alternativer"
"Save","Lagre"
"Select Dimension Unit for Products in Magento","Velg størrelsesenhet for produkter i Magento"
"Select later","Velg senere"
"Select specific time after checkout","Velg spesifikk tid etter kassen"
"Select Weight Unit for Products in Magento","Velg vektenhet for produkter i Magento"
"Shipment created automatically.","Automatisk forsendelse opprettet"
"Shipping Discount","Frakt rabatt"
"Show Geo-based Availibility Widget","Vis Geo-basert tilgjengelig Widget"
"Signature Required","Signatur kreves"
"Sort Order","sorteringsrekkefølge"
"Special delivery","Spesialleveranse"
"Subtitle", "Subtitle"
"Sunday","søndag"
"Synchronize","Synkron"
"System > Configuration > General > Store Information","System > Konfigurasjon > Generelt > Butikkinformasjon"
"Testing","Testing"
"There was an error preparing parcels.","Det oppstod en feil under forberedelsen av pakkingen"
"This destination is not supported","Denne destinasjonen støttes ikke"
"This is not a valid order.","Dette er ikke en gyldig ordre"
"This order has already been shipped.","Denne ordren har allerede blitt sendt."
"This product is out of stock","Dette produktet er utsolgt"
"Thursday","torsdag"
"Timeslot cut-off, hrs","Timeslot cut-off, timer"
"Timeslot window, hrs","Timeslot vindu, timer"
"Title","Tittel"
"Today","i dag"
"Tomorrow","i morgen"
"Tuesday","tirsdag"
"Unauthorized","Ingen tilgang"
"Unfortunately, we cannot deliver this at the moment","Dessverre kan vi ikke levere dette for øyeblikket"
"Verifications - default settings","Verifikasjoner - standardinnstillinger"
"Verifications - per product","Verifikasjoner - per produkt"
"Virtual products cannot be shipped","Virtuelle produkter kan ikke sendes"
"Wednesday","onsdag"
"Weight %s kg, volume %s cm³","Vekt %s kg, volum %s cm³"
"Weight conversion error.","Vektkonverteringsfeil"
"Weight Unit","Vektenhet"
"Widget Settings","Innstillinger for widget"
"Width attribute","Bredde-attributt"
"Will be used for Products with undefined Height","Vil bli brukt for produkter uten høyde"
"Will be used for Products with undefined Length","Vil bli brukt for produkter uten lengde"
"Will be used for Products with undefined Weight","Vil bli brukt for produkter uten vekt"
"Will be used for Products with undefined Width","Vil bli brukt for produkter uten bredde"
"Yes","Ja"
"You are banned from downloading the file. Please try again in several hours.","Du er utestengt fra å laste ned filen. Prøv igjen om noen timer."
